Empresa,Año,ACTIVO FIJO,ACTIVO CORRIENTE,OTROS ACTIVOS,PASIVO A LARGO PLAZO,PASIVO CORRIENTE,OTROS PASIVOS,CAPITAL SOCIAL,OTROS PATRIMONIO,TOTAL PATRIMONIO,INGRESOS OPERACIONALES,OTROS INGRESOS,COSTOS Y GASTOS OPERACIONALES,OTROS GASTOS,UTILIDAD (PERDIDA) OPERACIONAL,PROVISION PARA IMPUESTOS,UTILIDAD (PERDIDA) NETA,TIPO_EMPRESA
LATAM,2017.0,14317695,194709850.0,204745776,9310382,243644991,0.0,5251538.0,903374512,160817948.0,854506623,70172414,912263193,4784211,-57756570,-683971,8315604,COMERCIAL
LATAM,2018.0,11742856,179178023.0,182260826,8440666,224047483,0.0,5251538.0,903374513,140693556.0,940795689,9224734,945801637,3709706,-5005948,21107666,-20598586,COMERCIAL
LATAM,2019,169201281,553271052.0,0,7519664,343325076,0.0,5251548.0,0,371627593.0,980578326,0,42316612,0,54932186,25580206,-6184744,COMERCIAL
LATAM,2020,11399936,416993717.0,0,10431550,402125839,0.0,5251548.0,0,15836263.0,328974024,0,38301789,0,-209362913,155388683,-352773828,COMERCIAL
LATAM,2020.0,11399936,416993717.0,0,10431550,402125839,0.0,5251548.0,0,15836263.0,328974024,0,38301789,0,-209362913,155388683,-352773828,COMERCIAL
LATAM,2021.0,10603409,599501377.0,0,48281900,632801561,0.0,5251548.0,0,-70978675.0,927377776,0,30351702,0,96528889,0,-88814940,COMERCIAL
LATAM,2022,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,-2147483648.0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,COMERCIAL
LATAM,2023.0,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,0,-2147483648.0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,0,-2147483648,COMERCIAL
AVIANCA S.A.,2008,157364000,584142000.0,1618219000,500268000,1132090000,0.0,8937000.0,84767000,727367000.0,-2147483648,334632000,-2147483648,399281000,710704000,-15670000,661725000,COMERCIAL
AVIANCA S.A.,2009.0,154210000,1112521000.0,1740072000,882276000,1426414000,0.0,8937000.0,133803000,698113000.0,-2147483648,171058000,-2147483648,282526000,655516000,-11325000,555373000,COMERCIAL
AVIANCA S.A.,2010.0,1716311000,840071000.0,1397254000,1930174000,1415588000,0.0,8937000.0,609715000,607874000.0,-2147483648,165727000,-2147483648,481710000,358988000,53783000,-10778000,COMERCIAL
AVIANCA S.A.,2011.0,1780229000,1096746000.0,1575872000,-2147483648,0,0.0,8937000.0,527581000,868657000.0,-2147483648,178917000,-2147483648,227534000,463026000,71492000,342917000,COMERCIAL
AVIANCA S.A.,2012,2115655000,1664089000.0,1100742000,2056925000,1742496000,0.0,8937000.0,530741000,1466023656.0,-2147483648,198365000,-2147483648,313617000,578408000,77812000,385344000,COMERCIAL
AVIANCA S.A.,2012.0,2115655000,1664089000.0,1100742000,2056925000,1742496000,0.0,8937000.0,530741000,1466023656.0,-2147483648,198365000,-2147483648,313617000,578408000,77812000,385344000,COMERCIAL
