Empresa,Año,ACTIVO FIJO,ACTIVO CORRIENTE,OTROS ACTIVOS,PASIVO A LARGO PLAZO,PASIVO CORRIENTE,OTROS PASIVOS,CAPITAL SOCIAL,OTROS PATRIMONIO,TOTAL PATRIMONIO,INGRESOS OPERACIONALES,OTROS INGRESOS,COSTOS Y GASTOS OPERACIONALES,OTROS GASTOS,UTILIDAD (PERDIDA) OPERACIONAL,PROVISION PARA IMPUESTOS,UTILIDAD (PERDIDA) NETA,TIPO_EMPRESA
HELICES DEL META SAS,2022,110248000,2628000.0,0,0,7601000,0.0,69420000.0,35855000,0.0,93282000,0,77111000,14516000,16171000,0,1655000,AEROTAXI
HELICES DEL META SAS,2023.0,110248000,6815000.0,0,0,6057000,0.0,69200000.0,41806000,0.0,46601000,2000,44548000,0,2053000,0,2055000,AEROTAXI
LINEAS AEREAS DEL NORTE DE SANTANDER SAS,2022,856818669,1713560512.0,0,18726263,529308159,0.0,350000000.0,1672344759,0.0,-2147483648,14968825,-2147483648,35776721,227984332,-93039620,114136816,AEROTAXI
LINEAS AEREAS DEL NORTE DE SANTANDER SAS,2023.0,815419888,-2147483648.0,0,21879577,-2147483648,0.0,350000000.0,1948255106,0.0,-2147483648,114916988,-2147483648,39501004,391847677,-191353314,275910347,AEROTAXI
SERVICIOS INTEGRALES HELICOPORTADOS SAS,2022,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,1880757549,0.0,-2147483648,909695680,-2147483648,-2147483648,-1917197030,0,-2147483648,AEROTAXI
SERVICIOS INTEGRALES HELICOPORTADOS SAS,2023.0,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,-2147483648.0,-2147483648,0.0,-2147483648,-2147483648,-2147483648,902842342,-2147483648,-2147483648,-2147483648,AEROTAXI
SERVICIOS AEREOS ESPECIALIZADOS EN TRANSPORTES PETROLEROS,2022,-2147483648,1413623336.0,0,1643919737,904438490,0.0,-2147483648.0,0,0.0,-2147483648,167507750,-2147483648,36173191,-73304991,-20310349,37719219,AEROTAXI
SERVICIOS AEREOS ESPECIALIZADOS EN TRANSPORTES PETROLEROS,2023,-2147483648,1771936000.0,0,1643919738,1289239369,0.0,-2147483648.0,0,0.0,2064211421,14519448,2022788105,38649980,41423316,-14031000,3261784,AEROTAXI
SOLUCIONES INTEGRALES GNSS SAS,2022,1259859212,1368246586.0,0,130724607,783254030,0.0,1684650000.0,29477161,0.0,231008403,84000000,303818379,1364070,-72809976,-5363000,4462954,AEROTAXI
SOLUCIONES INTEGRALES GNSS SAS,2023.0,1190277711,-2147483648.0,0,1100330319,-2147483648,0.0,1684650000.0,-2147483648,0.0,-2147483648,0,-2147483648,7605805,420730315,-142904560,270219950,AEROTAXI
AEROEXPRESS SAS,2022,-2147483648,1788163318.0,0,2205634,773652316,0.0,1586500000.0,1688116928,0.0,839872099,221321173,1024945617,7390001,-185073518,-12300293,16557361,AEROTAXI
AEROEXPRESS SAS,2023.0,-2147483648,-2147483648.0,0,5913383,1150552080,0.0,1586500000.0,1712878146,0.0,599034367,720255260,1261647730,10808679,-662613363,-22072000,24761218,AEROTAXI
SERVICIO AEREO DE CAPURGANA SA,2022,6645464,20538045.0,0,2563908,18309840,0.0,5000000.0,1309761,0.0,100523034,470120,83005374,14783720,17517660,-2584395,619665,AEROTAXI
SERVICIO AEREO DE CAPURGANA SA,2023.0,7517415,21279744.0,0,2601794,17652424,0.0,5000000.0,3542941,0.0,104752373,2586556,83817197,19107859,20935176,-2180693,2233180,AEROTAXI
DELTA HELICOPTEROS SAS,2022,-2147483648,-2147483648.0,0,738220129,-2147483648,0.0,1344000000.0,-2147483648,0.0,-2147483648,1838929751,-2147483648,216742877,-527314387,-171693000,923179487,AEROTAXI
DELTA HELICOPTEROS SAS,2023.0,-2147483648,-2147483648.0,0,235087539,1570423045,0.0,1344000000.0,-2147483648,0.0,-2147483648,482341998,-2147483648,329697283,355753111,-444211000,64186826,AEROTAXI
HELISTAR SAS,2022,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,1622250000.0,-2147483648,0.0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,AEROTAXI
HELISTAR SAS,2023.0,-2147483648,-2147483648.0,0,-2147483648,-2147483648,0.0,1622250000.0,-2147483648,0.0,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,-2147483648,AEROTAXI
AEROCHARTER ANDINA SA,2008,2075961,1723624.0,1573295,1277543,1271733,0.0,463500.0,231245,2823604.0,9592206,169485,8186780,67403,1405425,169027,1338480,AEROTAXI
AEROCHARTER ANDINA SA,2009.0,2508978,1440451.0,1992692,1170713,2850044,0.0,463500.0,365093,1921364.0,10444990,179459,10617498,67785,-172508,51027,-111861,AEROTAXI
AEROCHARTER ANDINA SA,2010.0,2645448,1791943.0,1815956,1095641,4075864,0.0,463500.0,365093,1081843.0,11706693,39037,11220369,130250,486323,141861,253249,AEROTAXI
AEROCHARTER ANDINA SA,2011.0,2520199,3569355.0,236452,1606494,2880069,0.0,463500.0,346292,1839442.0,12439703,387629,12634202,122143,-194499,92802,-21815,AEROTAXI
AEROCHARTER ANDINA SA,2012.0,1262060,4950407.0,1500000,1303247,4454086,0.0,463500.0,1871438,1955134.0,11990045,700076,13155093,901125,-1165048,18210,-1384307,AEROTAXI
AEROCHARTER ANDINA SA,2012,1262060,4950407.0,1500000,1303247,4454086,0.0,463500.0,1871438,1955134.0,11990045,700076,13155093,901125,-1165048,18210,-1384307,AEROTAXI
AEROCHARTER ANDINA SA,2013,1127549,4293106.0,1500000,1250000,3535927,0.0,463500.0,1871437,2134728.0,12500643,447277,12550930,96098,-50287,121298,179594,AEROTAXI
AEROCHARTER ANDINA SA,2013.0,1127549,4293106.0,1500000,1250000,3535927,0.0,463500.0,1871437,2134728.0,12500643,447277,12550930,96098,-50287,121298,179594,AEROTAXI
AEROCHARTER ANDINA SA,2014,1016868,6293658.0,34004,0,6335707,0.0,463500.0,-1016725,-553225.0,15434114,133477,14158676,719069,1275438,315752,374094,AEROTAXI
AEROCHARTER ANDINA SA,2014.0,1093092,6038670.0,1500000,2275000,3740377,0.0,463500.0,1889398,2616385.0,11152439,133478,10281130,191782,871309,331349,481656,AEROTAXI
AEROCHARTER ANDINA SA,2015,989214,9308508.0,28283,3656220,6063319,0.0,463500.0,389399,606466.0,8833531,979550,9689654,515494,-856123,10290,-402357,AEROTAXI
AEROCHARTER ANDINA SA,2015.0,989215,9132257.0,28282,0,9573388,0.0,463500.0,389398,852898.0,8833531,979525,9784806,450416,-951275,10290,-432456,AEROTAXI
AEROCHARTER ANDINA SA,2016,871989,7708133.0,99486,0,8213622,0.0,463500.0,389398,465986.0,10008783,390349,8508777,1900867,1500006,129967,-140479,AEROTAXI
AEROCHARTER ANDINA SA,2016.0,871989,7576203.0,99486,3477,7716287,0.0,463500.0,389398,827914.0,10008783,390349,8037262,2010455,1971521,129967,221448,AEROTAXI
AEROCHARTER ANDINA SA,2017.0,871989,8295091.0,55944,6726,8883699,0.0,463500.0,389398,332599.0,5659705,134126,5501908,425311,157797,0,-133388,AEROTAXI
AEROLINEA DEL CARIBE,2008,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,AEROTAXI
AEROLINEA DEL CARIBE,2009.0,546482,2961516.0,610164,0,1296824,0.0,1000000.0,786240,2821339.0,19145761,232892,18242906,169007,902854,331739,635001,AEROTAXI
AEROLINEA DEL CARIBE,2010.0,553975,6555872.0,720836,1588660,2361042,0.0,1000000.0,849740,3880981.0,24705553,152532,22997519,204485,1708033,596439,1059642,AEROTAXI
AEROLINEA DEL CARIBE,2011.0,8866,4651665.0,0,2300000,886080,0.0,1000000.0,0,1474452.0,5727959,9472,4736971,10906,990988,236059,753495,AEROTAXI
AEROLINEA DEL CARIBE,2012.0,487259,9285561.0,959020,2392087,3296368,0.0,1000000.0,1262043,5043385.0,30270544,392474,28957447,224900,1313097,520381,960290,AEROTAXI
AEROEXPRESS SAS,2021,-2147483648,1446037458.0,0,0,451721122,0.0,1586500000.0,1671559568,0.0,817531168,0,807231605,0,10299563,4732977,0,AEROTAXI
AEROEXPRESS SAS,2022.0,-2147483648,1788163318.0,0,0,775857950,0.0,1586500000.0,1688116929,0.0,1054745683,0,1027385099,0,27360584,12300295,0,AEROTAXI
AERO TAXI GUAYMARAL SAS,2008,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,AEROTAXI
AERO TAXI GUAYMARAL SAS,2009.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,AEROTAXI
AERO TAXI GUAYMARAL SAS,2010.0,133534,60790.0,0,0,31119,0.0,160000.0,0,163205.0,369195,1252,358437,3151,10758,4450,4409,AEROTAXI
AERO TAXI GUAYMARAL SAS,2011.0,273557,685441.0,1847429,0,71284,0.0,860000.0,1847870,2735143.0,995583,1256,957343,2916,38240,12071,24509,AEROTAXI
AERO TAXI GUAYMARAL SAS,2012,298276,761480.0,1603100,25034,117012,0.0,860000.0,1605992,2520810.0,1598698,1073,1526462,25795,72236,17518,29996,AEROTAXI
AERO TAXI GUAYMARAL SAS,2012.0,298276,761480.0,1603100,25034,117012,0.0,860000.0,1605992,2520810.0,1598698,1073,1526462,25795,72236,17518,29996,AEROTAXI
AERO TAXI GUAYMARAL SAS,2013,357898,693831.0,1603100,6034,105257,0.0,860000.0,1608443,2543538.0,1152001,43343,1117278,41566,34723,13772,22728,AEROTAXI
AERO TAXI GUAYMARAL SAS,2013.0,357898,693831.0,1603100,6034,105257,0.0,860000.0,1608443,2543538.0,1152001,43343,1117278,41566,34723,13772,22728,AEROTAXI
AERO TAXI GUAYMARAL SAS,2014,308476,514804.0,1719356,0,89004,0.0,860000.0,1490894,2350894.0,961125,14183,891072,37821,70053,16732,29683,AEROTAXI
AERO TAXI GUAYMARAL SAS,2014.0,308476,748414.0,1483100,0,86358,0.0,860000.0,1490894,2453632.0,961125,14183,891072,37821,70053,16732,29683,AEROTAXI
AERO TAXI GUAYMARAL SAS,2015,426702,609306.0,1719756,0,280836,0.0,860000.0,1493862,2474928.0,1154474,654,1111357,8294,43117,16441,19036,AEROTAXI
AERO TAXI GUAYMARAL SAS,2015.0,262363,659823.0,1719356,0,160831,0.0,860000.0,1493862,2353862.0,1155114,12,1108324,3282,46790,16441,27079,AEROTAXI
AERO TAXI GUAYMARAL SAS,2016,400932,599098.0,236656,7000,179896,0.0,860000.0,12666,1049790.0,1476125,3167,1389506,7048,86619,30559,52179,AEROTAXI
AERO TAXI GUAYMARAL SAS,2016.0,400932,618042.0,1719756,7000,180180,0.0,860000.0,1495766,2551550.0,1476125,3167,1356150,7048,119975,39472,76622,AEROTAXI
AERO TAXI GUAYMARAL SAS,2017.0,445532,487567.0,236656,0,98970,0.0,860000.0,17884,1070785.0,1755404,1249,1696474,15462,58930,23722,20995,AEROTAXI
AEROAPOYO LTDA,2008,275983,814245.0,26106,256667,151335,0.0,180000.0,432832,708332.0,1632481,18932,1570352,42966,62129,33247,4848,AEROTAXI
AEROAPOYO LTDA,2009.0,232237,600904.0,215642,163333,82374,0.0,180000.0,628686,803076.0,1107026,26922,1088205,129321,18821,17046,-100624,AEROTAXI
AEROAPOYO LTDA,2010.0,332712,498263.0,216431,0,182914,0.0,180000.0,628686,864493.0,1440701,18280,1319348,38584,121352,39632,61416,AEROTAXI
AEROAPOYO LTDA,2011.0,353739,507356.0,233121,0,171773,0.0,180000.0,644954,922440.0,1623778,21205,1498304,25006,125474,46215,75458,AEROTAXI
AEROAPOYO LTDA,2012,477605,370112.0,1219986,124921,278792,0.0,180000.0,1368975,1663990.0,1533224,20455,1464882,21567,68342,42156,25074,AEROTAXI
AEROAPOYO LTDA,2012.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,AEROTAXI
AEROAPOYO LTDA,2013,470320,423404.0,1280357,235876,318412,0.0,180000.0,1371483,1619793.0,1329524,27046,1347679,53088,-18155,0,-44197,AEROTAXI
AEROAPOYO LTDA,2013.0,470320,423404.0,1280357,235876,318412,0.0,180000.0,1371483,1619793.0,1329524,27046,1347679,53088,-18155,0,-44197,AEROTAXI
AEROAPOYO LTDA,2014,456575,501844.0,1206612,128976,402751,0.0,622386.0,929098,1633304.0,1481676,20882,1385243,56104,96433,47700,13511,AEROTAXI
AEROAPOYO LTDA,2014.0,456575,501844.0,1206612,128976,402751,0.0,622386.0,929098,1633304.0,1481676,20882,1385243,56104,96433,47700,13511,AEROTAXI
AEROAPOYO LTDA,2015,935426,515097.0,47040,58662,360335,0.0,622386.0,778285,1078566.0,1006604,0,551565,482303,455039,31243,-58507,AEROTAXI
AEROAPOYO LTDA,2015.0,443383,627413.0,949573,58662,311131,0.0,622386.0,0,0.0,976261,13672,920202,29890,56059,22568,17273,AEROTAXI
AEROAPOYO LTDA,2016,977291,519117.0,60928,49953,404904,0.0,622386.0,778285,1102479.0,987408,0,508421,448259,478987,6815,23913,AEROTAXI
AEROAPOYO LTDA,2016.0,977291,519117.0,60928,49953,404904,0.0,622386.0,778285,1102479.0,987408,0,508421,448259,478987,6815,23913,AEROTAXI
AEROAPOYO LTDA,2017.0,930895,665356.0,67687,50688,487098,0.0,622386.0,0,1126152.0,791459,8988,404116,365440,387343,7219,23672,AEROTAXI
AEROCOL LTDA,2008,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,AEROTAXI
AEROCOL LTDA,2009.0,11122,650021.0,381536,0,86893,0.0,178500.0,690431,955787.0,1007574,90413,1019079,25022,-11504,17782,36103,AEROTAXI
AEROCOL LTDA,2010.0,8814,797691.0,342635,0,160244,0.0,178500.0,696300,988896.0,1134923,29363,1034036,71570,100887,29138,29542,AEROTAXI
AEROCOL LTDA,2011.0,16729,1020225.0,320000,0,330518,0.0,178500.0,703236,1026436.0,1276364,26483,1218298,15185,58066,29826,39538,AEROTAXI
AEROCOL LTDA,2012,2928384,452656.0,329120,0,2671615,0.0,178500.0,703236,1038545.0,1085539,175870,1164210,50489,-78671,34601,12109,AEROTAXI
AEROCOL LTDA,2012.0,2928384,452656.0,329120,0,2671615,0.0,178500.0,703236,1038545.0,1085539,175870,1164210,50489,-78671,34601,12109,AEROTAXI
AEROCOL LTDA,2013,4019368,598844.0,328872,2509699,174564,0.0,1338000.0,703237,2262821.0,1318445,290839,1498437,24306,-179992,21766,64775,AEROTAXI
AEROCOL LTDA,2013.0,4019368,598844.0,328872,2509699,174564,0.0,1338000.0,703237,2262821.0,1318445,290839,1498437,24306,-179992,21766,64775,AEROTAXI
AEROCOL LTDA,2014,4026623,560660.0,327078,2427773,102488,94027.0,1338000.0,703237,2290073.0,1250923,56693,1128821,151544,122102,0,27251,AEROTAXI
AEROCOL LTDA,2014.0,4026623,560660.0,327078,2427773,102488,94027.0,1338000.0,703237,2290073.0,1250923,56693,1128821,151544,122102,0,27251,AEROTAXI
AEROCOL LTDA,2015,4016444,223953.0,327079,2131105,409295,72933.0,1338000.0,703236,1954143.0,597683,6927,323509,395445,274174,0,-114344,AEROTAXI
AEROCOL LTDA,2015.0,4016444,223953.0,327079,2131105,409295,72933.0,1338000.0,0,0.0,597683,6927,323509,395445,274174,0,-114344,AEROTAXI
AEROCOL LTDA,2016,4812958,233934.0,-557450,2343602,152286,0.0,1338000.0,703236,1993554.0,820485,0,725384,0,95101,32334,62767,AEROTAXI
AEROCOL LTDA,2016.0,4812958,233934.0,-557450,2343602,152286,0.0,1338000.0,703236,1993554.0,820485,0,725384,0,95101,32334,62767,AEROTAXI
AEROCOL LTDA,2017.0,4222802,382366.0,0,2331886,266518,0.0,1338000.0,704557,2006764.0,700467,33874,695159,19167,5308,8126,11889,AEROTAXI
AEROCOL LTDA,2019,256474,1678686.0,0,3581,120931,0.0,1338000.0,0,0.0,1505281,15203,377980,28572,-198684,8566,-235853,AEROTAXI
AEROCOL LTDA,2020.0,55000,1342949.0,0,3731,27141,0.0,1338000.0,0,0.0,111185,0,408225,0,-447610,19274,-443572,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2008,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2009.0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2010.0,643673,350294.0,0,0,318007,0.0,463500.0,48465,675960.0,1687887,0,1609235,7515,78652,7114,64023,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2011.0,950621,399507.0,0,0,589620,0.0,463500.0,63596,760508.0,2949472,1494,2836034,0,113438,37928,77004,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2012,1282513,474003.0,0,667825,190381,0.0,463500.0,66261,898310.0,3050521,54290,2901538,48560,148983,51055,103658,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2012.0,1282513,474003.0,0,667825,190381,0.0,463500.0,66261,898310.0,3050521,54290,2901538,48560,148983,51055,103658,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2013,1218740,882383.0,0,218365,769272,0.0,463000.0,286317,1113486.0,3395751,38227,3244574,11915,151177,44372,133117,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2013.0,1218740,882383.0,0,218365,769272,0.0,463000.0,286317,1113486.0,3395751,38227,3244574,11915,151177,44372,133117,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2014,1400479,734475.0,0,539406,405445,0.0,463000.0,512597,975597.0,2513948,16613,2426835,0,87113,25931,77795,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2014.0,1400479,734475.0,0,539406,405445,0.0,463000.0,512597,1190103.0,2513948,16613,2426835,0,87113,25931,77795,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2015,3853958,234475.0,43284,2590788,141035,0.0,463500.0,13312,1399894.0,2584982,0,2507561,51223,77421,-141580,167778,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2015.0,3490596,237616.0,0,2438655,115640,0.0,463500.0,286317,749817.0,1968609,616375,2474275,51223,-505666,31262,28224,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2016,3849898,496946.0,348335,2709795,417715,0.0,463500.0,13312,1567669.0,2708563,0,2376006,61127,332557,114864,156566,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2016.0,3849898,496946.0,348335,2709795,417715,0.0,463500.0,13312,1567669.0,2708563,0,2376006,61127,332557,114864,156566,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2017.0,659847,694119.0,2941356,0,2908085,0.0,463500.0,286318,1387237.0,1259026,1826,1269447,25671,-10421,0,-34266,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2019,3914975,361590.0,0,1867145,347510,0.0,463500.0,0,0.0,4195327,0,536116,0,2914,26918,33900,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2020.0,3602901,356996.0,0,2700812,141785,0.0,463500.0,0,0.0,1693056,0,627084,0,-913447,2599,-974627,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2021,-2147483648,226454697.0,0,-2147483648,578557265,0.0,463500000.0,835073947,0.0,-2147483648,0,-2147483648,0,633586244,116699209,0,AEROTAXI
AEROEJECUTIVOS DE ANTIOQUIA SAS,2022.0,-2147483648,198546388.0,0,-2147483648,473961794,0.0,463500000.0,586178132,0.0,-2147483648,0,-2147483648,0,-559127575,65022278,0,AEROTAXI
AEROESTAR LTDA,2008,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,AEROTAXI
AEROESTAR LTDA,2009.0,570849,201638.0,0,30849,24990,0.0,706200.0,1044,716647.0,140740,1644,123270,3641,17469,6070,9402,AEROTAXI
AEROESTAR LTDA,2010.0,513731,247749.0,0,8687,21564,0.0,706200.0,2502,731228.0,894877,359,867299,7631,27577,7182,13123,AEROTAXI
AEROESTAR LTDA,2011.0,655831,338568.0,0,51651,153943,0.0,706200.0,7330,788904.0,1662902,948,1591885,15386,71017,20012,36567,AEROTAXI
AEROESTAR LTDA,2012,1011687,333525.0,0,319367,195680,0.0,706200.0,11456,830164.0,1351738,40856,1319028,16110,32710,20322,37134,AEROTAXI
AEROESTAR LTDA,2012.0,1011687,333525.0,0,319367,195680,0.0,706200.0,11456,830164.0,1351738,40856,1319028,16110,32710,20322,37134,AEROTAXI
AEROESTAR LTDA,2013,1376893,242465.0,0,537419,213231,0.0,706200.0,15311,868708.0,1773587,28242,1677767,65664,95820,23709,34689,AEROTAXI
AEROESTAR LTDA,2013.0,1376893,242465.0,0,537419,213231,0.0,706200.0,15311,868708.0,1773587,28242,1677767,65664,95820,23709,34689,AEROTAXI
AEROESTAR LTDA,2014,1728466,1078118.0,0,275249,1242609,0.0,1089000.0,0,0.0,1806194,29741,1757896,21648,48298,22895,33496,AEROTAXI
AEROESTAR LTDA,2014.0,1651766,1148284.0,0,275249,1239712,0.0,1089000.0,18668,1285089.0,1806194,29741,1763407,21648,42787,20657,30223,AEROTAXI
AEROESTAR LTDA,2015,1467979,956682.0,31089,489688,649470,0.0,1139160.0,21819,1316592.0,2127803,15979,1976672,124890,151131,17142,25078,AEROTAXI
AEROESTAR LTDA,2015.0,1467978,1001907.0,0,489687,663607,0.0,1139160.0,0,0.0,2127804,15979,1976673,124889,151131,17142,25079,AEROTAXI
AEROESTAR LTDA,2016,1344027,638298.0,31089,376569,308506,0.0,1139160.0,22994,1328339.0,2164492,4494,2046862,104323,117630,7228,10573,AEROTAXI
AEROESTAR LTDA,2016.0,1344027,638298.0,31089,376569,308506,0.0,1139160.0,22994,1328339.0,2164492,4494,2046862,104323,117630,7228,10573,AEROTAXI
AEROESTAR LTDA,2017.0,1056145,671384.0,15682,183585,163412,0.0,1139160.0,29782,1396214.0,2206173,3304,2012328,94310,193845,41753,61086,AEROTAXI
AEROESTAR LTDA,2019,797031,1210337.0,0,9202,419116,0.0,1139160.0,0,0.0,3728999,8466,1027338,525950,280852,0,151640,AEROTAXI
AEROESTAR LTDA,2020.0,567064,1325753.0,0,27389,211944,0.0,1139160.0,0,0.0,3506121,8390,976093,507386,35399,0,70953,AEROTAXI
AEROEXPRESS SAS,2008,1313047,577051.0,0,1355464,288668,0.0,626500.0,49819,245967.0,630504,0,600000,23755,30504,0,6749,AEROTAXI
AEROEXPRESS SAS,2009.0,671767,928466.0,0,0,336043,0.0,676500.0,999819,1264191.0,2501794,3626,2476796,1424,24998,8976,18223,AEROTAXI
AEROEXPRESS SAS,2010.0,481793,1058323.0,17380,198198,92595,0.0,676500.0,999819,1266703.0,572210,191760,712245,36698,-140034,12515,2512,AEROTAXI
AEROEXPRESS SAS,2011.0,346422,1164315.0,270597,0,503477,0.0,676500.0,986336,1277858.0,696484,178716,801505,30624,-105021,18433,24638,AEROTAXI
AEROEXPRESS SAS,2012,1118424,357525.0,199018,0,382887,0.0,676500.0,986335,1292080.0,930233,6842,884971,24455,45262,13427,14222,AEROTAXI
AEROEXPRESS SAS,2012.0,1118424,357525.0,199018,0,382887,0.0,676500.0,986335,1292080.0,930233,6842,884971,24455,45262,13427,14222,AEROTAXI
AEROEXPRESS SAS,2013,1053329,526542.0,107790,81738,282397,0.0,676500.0,986335,1323526.0,428042,301796,677645,10263,-249603,10483,31447,AEROTAXI
AEROEXPRESS SAS,2013.0,1053329,526542.0,107790,81738,282397,0.0,676500.0,986335,1323526.0,428042,301796,677645,10263,-249603,10482,31448,AEROTAXI
AEROEXPRESS SAS,2014,1171653,403473.0,24743,0,214950,0.0,676500.0,986336,1384919.0,871278,57444,841596,7848,29682,8832,70446,AEROTAXI
AEROEXPRESS SAS,2014.0,1171653,403473.0,24743,0,214950,0.0,676500.0,986336,1384919.0,871278,57444,841596,7848,29682,8832,70446,AEROTAXI
AEROEXPRESS SAS,2015,1110464,537117.0,24743,0,286057,0.0,676500.0,983566,1386267.0,1000386,15839,985344,17495,15042,9268,4118,AEROTAXI
AEROEXPRESS SAS,2015.0,1110464,537117.0,24743,0,286057,0.0,676500.0,0,0.0,1000386,15839,985344,17495,15042,9268,4118,AEROTAXI
AEROEXPRESS SAS,2016,1162162,517025.0,24743,0,317915,0.0,676500.0,981490,1386015.0,828883,2900,808722,14074,20161,4858,4129,AEROTAXI
AEROEXPRESS SAS,2016.0,1162162,517025.0,24743,0,317915,0.0,676500.0,981490,1386015.0,828883,2900,808722,14074,20161,4858,4129,AEROTAXI
AEROEXPRESS SAS,2017.0,1964476,318803.0,0,84775,230,0.0,676500.0,950000,2198274.0,1067780,1,1009799,5868,57981,13385,38729,AEROTAXI
AEROEXPRESS SAS,2019,1509004,1913505.0,0,0,241223,0.0,1586500.0,0,0.0,1116621,128628274,56373,459113877,92148,56727,32731,AEROTAXI
AEROEXPRESS SAS,2020.0,2272515,1683524.0,0,0,713667,0.0,1586500.0,0,0.0,931497,1573239802,75374,828334290,80764,25198,61085,AEROTAXI
AEROGALAN LTDA,2008,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,AEROTAXI
AEROGALAN LTDA,2009.0,472973,404878.0,0,0,47333,0.0,168000.0,425192,830518.0,876043,2021,789008,6137,87034,28191,54725,AEROTAXI
AEROGALAN LTDA,2010.0,1264645,289136.0,0,670000,65146,0.0,168000.0,444137,818635.0,803639,8421,750234,6326,53404,20356,35142,AEROTAXI
AEROGALAN LTDA,2011.0,1325015,222902.0,0,680000,41453,0.0,168000.0,444137,826464.0,657962,3986,557779,61197,100183,0,42972,AEROTAXI
AEROGALAN LTDA,2012,1178148,398318.0,0,690958,13206,0.0,168000.0,449955,872302.0,1075089,682,947040,83003,128049,15090,30638,AEROTAXI
AEROGALAN LTDA,2012.0,1178148,398318.0,0,690958,13206,0.0,168000.0,449955,872302.0,1075089,682,947040,83003,128049,15090,30638,AEROTAXI
AEROGALAN LTDA,2013,1028503,180327.0,0,161580,24836,0.0,168000.0,453018,1022414.0,972122,5,718307,29773,253815,73935,150112,AEROTAXI
AEROGALAN LTDA,2013.0,1028503,180327.0,0,161580,24836,0.0,168000.0,453018,1022414.0,972122,5,718307,29773,253815,73935,150112,AEROTAXI
AEROGALAN LTDA,2014,983909,163216.0,0,194800,23056,0.0,168000.0,455772,929269.0,1069119,4,1012074,12452,57045,15163,29434,AEROTAXI
AEROGALAN LTDA,2014.0,983909,163216.0,0,194800,23056,0.0,168000.0,455772,929269.0,1069119,4,1012074,12452,57045,15163,29434,AEROTAXI
AEROGALAN LTDA,2015,1177918,106089.0,0,110312,28295,0.0,168000.0,458716,1145400.0,1033693,1511,972295,10151,61398,19818,32940,AEROTAXI
AEROGALAN LTDA,2015.0,859834,192779.0,0,51285,34463,0.0,168000.0,458715,626715.0,1033586,7,965242,11386,68344,19368,37597,AEROTAXI
AEROGALAN LTDA,2016,1264253,38106.0,0,110312,30305,0.0,168000.0,462010,1161742.0,290685,205,262811,1873,27874,9864,16342,AEROTAXI
AEROGALAN LTDA,2016.0,1264253,38106.0,0,110312,30305,0.0,168000.0,462010,1161742.0,290685,205,262811,1873,27874,9864,16342,AEROTAXI
AEROGALAN LTDA,2017.0,952029,116444.0,0,0,87639,0.0,168000.0,465932,980834.0,336827,0,266050,11793,70777,0,58984,AEROTAXI
AEROGALAN LTDA,2019,952029,91989.0,0,0,75508,0.0,168000.0,0,0.0,505838,11111003,60542,989635,42322,0,14452,AEROTAXI
AEROGALAN LTDA,2020.0,92194,43116.0,0,0,13068,0.0,168000.0,0,0.0,156911,6447589,22963,4950518,17017,0,-846267,AEROTAXI
