EMPRESA,AÑO,ACTIVOS_x,PATRIMONIO_x,INGRESOS_OPERACIONALES_x,OTROS_INGRESOS_x,GASTOS_OPERACIONALES_x,OTROS_GASTOS_IMPUESTOS_x,UTILIDAD_OPERACIONAL_x,UTILIDAD_NETA_x,INGRESOS_OPERACIONALES_y,OTROS_INGRESOS_y,ACTIVOS_y,PATRIMONIO_y,GASTOS_OPERACIONALES_y,OTROS_GASTOS_IMPUESTOS_y,UTILIDAD_OPERACIONAL_y,UTILIDAD_NETA_y
CARGA,1998,78665521.0,,,,175571973.0,,,,,,,,,,,
AEROTAXIS,1998,195236449.0,,,,1413171548.0,,,,,,,,,,,
TOTAL TRANSP. AEREO,1998,1404846259.0,192331995.0,1421515085.0,169023706.0,1413171548.0,136894511.0,38043539.0,-14857993.0,,,,,,,,
ACES,1991,,,,,,,,,28392619.0,572322.0,20536319.0,10239004.0,18387165.0,6479313.0,6945462.0,1041471.0
AEROREPUBLICA,1991,,,,,,,,,,,,,,,,
AEROTACA,1991,,,,,,,,,1616430.0,323609.0,1652201.0,537494.0,1561882.0,86443.0,53538.0,48695.0
AIRES,1991,,,,,,,,,4627416.0,132111.0,2047749.0,584612.0,4189926.0,282886.0,238234.0,77449.0
AVIANCA,1991,,,,,,,,,255710338.0,72727823.0,206162365.0,23266134.0,277716305.0,17980332.0,-13976967.0,-30472964.0
INTERCONTINENTAL,1991,,,,,,,,,11981178.0,322168.0,5626406.0,805128.0,11536209.0,658148.0,621967.0,266898.0
SAM,1991,,,,,,,,,9938287.0,408164.0,15902362.0,6577961.0,39666271.0,78123.0,174016.0,503057.0
SATENA,1991,,,,,,,,,,,,,,,,
TRANSORIENTE,1991,,,,,,,,,,,,,,,,
TAS,1991,,,,,,,,,,31752.0,452922.0,316149.0,238338.0,41026.0,-102774.0,-36278.0
TRANSAMAZONICA,1991,,,,,,,,,235986.0,,,,,,,
AEROVUELOS,1991,,,,,,,,,380000.0,3.0,119700.0,111700.0,929830.0,16704.0,50070.0,50070.0
AEROCORALES,1991,,,,,,,,,11332.0,,79576.0,13454.0,14708.0,,,
ACES,1992,,,,,,,,,40001808.0,622328.0,26368483.0,13650658.0,29310581.0,9921232.0,10691327.0,1392421.0
AEROREPUBLICA,1992,,,,,,,,,,,,,,,,
AEROTACA,1992,,,,,,,,,1695605.0,1408995.0,1900449.0,578240.0,1725395.0,223614.0,-27390.0,71804.0
AIRES,1992,,,,,,,,,7163397.0,381847.0,2986188.0,1058408.0,6761901.0,361463.0,291486.0,311885.0
AVIANCA,1992,,,,,,,,,301000186.0,48834726.0,210652648.0,12646123.0,324588219.0,20313787.0,-8834358.0,-48933539.0
INTERCONTINENTAL,1992,,,,,,,,,20401646.0,405463.0,9351499.0,1775992.0,14248752.0,847113.0,1151694.0,720274.0
SAM,1992,,,,,,,,,54847223.0,2999267.0,25058131.0,8580501.0,61856524.0,1879081.0,2686099.0,308885.0
SATENA,1992,,,,,,,,,,,,,,,,
TRANSORIENTE,1992,,,,,,,,,,,,,,,,
TAS,1992,,,,,,,,,,23216.0,520915.0,389285.0,484780.0,56296.0,,
TRANSAMAZONICA,1992,,,,,,,,,535548.0,,,,,,,
AEROVUELOS,1992,,,,,,,,,380000.0,60066.0,800800.0,784800.0,903000.0,45780.0,227978.0,227978.0
AEROCORALES,1992,,,,,,,,,,,703448.0,,,,,
ACES,1993,,,,,,,,,70813891.0,2731305.0,36362712.0,15577392.0,52145108.0,20710119.0,18468343.0,490129.0
AEROREPUBLICA,1993,,,,,,,,,5929997.0,164665.0,1795455.0,410760.0,5990271.0,89658.0,-660274.0,-665168.0
AEROTACA,1993,,,,,,,,,2572516.0,474344.0,4230607.0,2881033.0,2776347.0,364033.0,-203221.0,833935.0
AIRES,1993,,,,,,,,,10780331.0,425832.0,3835228.0,1447281.0,10896584.0,304657.0,34747.0,215922.0
AVIANCA,1993,,,,,,,,,356315606.0,36018177.0,237385367.0,18447458.0,371884366.0,13028567.0,-1004054.0,-8422860.0
INTERCONTINENTAL,1993,,,,,,,,,43768588.0,892267.0,19865477.0,2522618.0,41209455.0,2460316.0,2556413.0,887354.0
SAM,1993,,,,,,,,,72925205.0,5148800.0,24662300.0,3985040.0,77567000.0,2433000.0,4731003.0,-2018000.0
SATENA,1993,,,,,,,,,,,,,,,,
TRANSORIENTE,1993,,,,,,,,,,,,,,,,
TAS,1993,,,,,,,,,,72864.0,587168.0,392357.0,607609.0,6358.0,,
TRANSAMAZONICA,1993,,,,,,,,,504935.0,,,,,,,
AEROVUELOS,1993,,,,,,,,,1130976.0,31907.0,813686.0,846698.0,445319.0,58975.0,61862.0,78340.0
AEROCORALES,1993,,,,,,,,,520937.0,,703448.0,,,,,
ACES,1994,,,,,,,,,100586612.0,3588833.0,51133796.0,23495100.0,88316370.0,3275537.0,2286242.0,2583534.0
AEROREPUBLICA,1994,,,,,,,,,28882433.0,489778.0,10025658.0,6005734.0,27813033.0,291547.0,1079130.0,1277381.0
AEROTACA,1994,,,,,,,,,3781657.0,561247.0,5770556.0,2053532.0,4420431.0,562899.0,-626334.0,-717489.0
AIRES,1994,,,,,,,,,15465305.0,558098.0,4988752.0,2058938.0,16530572.0,324109.0,114192.0,348721.0
AVIANCA,1994,,,,,,,,,444832521.0,28061556.0,280911229.0,21817375.0,443857162.0,28966101.0,775169.0,1870134.0
INTERCONTINENTAL,1994,,,,,,,,,52846186.0,2406088.0,27802784.0,6094362.0,48057374.0,3585515.0,4720934.0,3618772.0
SAM,1994,,,,,,,,,73098684.0,3341136.0,33472786.0,532854.0,79626260.0,708312.0,-6529636.0,-3894812.0
SATENA,1994,,,,,,,,,,,,,,,,
TRANSORIENTE,1994,,,,,,,,,42561.0,19743.0,248490.0,4555.0,50457.0,2453.0,-7826.0,9384.0
TAS,1994,,,,,,,,,309280.0,16843.0,587168.0,300000.0,422185.0,1885.0,,
TRANSAMAZONICA,1994,,,,,,,,,504935.0,,1050912.0,,,,,
AEROVUELOS,1994,,,,,,,,,1130976.0,31807.0,1823864.0,836720.0,773625.0,65985.0,81621.0,74559.0
AEROCORALES,1994,,,,,,,,,520937.0,,1050912.0,,,,,
